"No.","Time","Source","Destination","Protocol","Length","Info"
"266","153.473116","10.0.0.2","10.0.0.6","TCP","574","1682  >  0 [SYN] Seq=0 Win=512 Len=2000"
"267","153.473124","10.0.0.6","10.0.0.2","TCP","54","0  >  1682 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"269","153.476454","10.0.0.2","10.0.0.6","TCP","574","1683  >  0 [SYN] Seq=0 Win=512 Len=2000"
"270","153.476462","10.0.0.6","10.0.0.2","TCP","54","0  >  1683 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"272","153.480596","10.0.0.2","10.0.0.6","TCP","574","1684  >  0 [SYN] Seq=0 Win=512 Len=2000"
"273","153.480644","10.0.0.6","10.0.0.2","TCP","54","0  >  1684 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"275","153.483875","10.0.0.2","10.0.0.6","TCP","574","1685  >  0 [SYN] Seq=0 Win=512 Len=2000"
"276","153.483921","10.0.0.6","10.0.0.2","TCP","54","0  >  1685 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"278","153.494409","10.0.0.2","10.0.0.6","TCP","574","1686  >  0 [SYN] Seq=0 Win=512 Len=2000"
"280","153.494459","10.0.0.6","10.0.0.2","TCP","54","0  >  1686 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"281","153.502397","10.0.0.2","10.0.0.6","TCP","574","1687  >  0 [SYN] Seq=0 Win=512 Len=2000"
"283","153.502431","10.0.0.6","10.0.0.2","TCP","54","0  >  1687 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"284","153.503877","10.0.0.2","10.0.0.6","TCP","574","1688  >  0 [SYN] Seq=0 Win=512 Len=2000"
"285","153.503893","10.0.0.6","10.0.0.2","TCP","54","0  >  1688 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"287","153.507193","10.0.0.2","10.0.0.6","TCP","574","1689  >  0 [SYN] Seq=0 Win=512 Len=2000"
"288","153.507212","10.0.0.6","10.0.0.2","TCP","54","0  >  1689 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"290","153.510366","10.0.0.2","10.0.0.6","TCP","574","1690  >  0 [SYN] Seq=0 Win=512 Len=2000"
"291","153.510397","10.0.0.6","10.0.0.2","TCP","54","0  >  1690 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"293","153.513274","10.0.0.2","10.0.0.6","TCP","574","1691  >  0 [SYN] Seq=0 Win=512 Len=2000"
"294","153.513304","10.0.0.6","10.0.0.2","TCP","54","0  >  1691 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"296","153.516911","10.0.0.2","10.0.0.6","TCP","574","1692  >  0 [SYN] Seq=0 Win=512 Len=2000"
"297","153.516932","10.0.0.6","10.0.0.2","TCP","54","0  >  1692 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"299","153.520251","10.0.0.2","10.0.0.6","TCP","574","1693  >  0 [SYN] Seq=0 Win=512 Len=2000"
"300","153.520267","10.0.0.6","10.0.0.2","TCP","54","0  >  1693 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"302","153.523590","10.0.0.2","10.0.0.6","TCP","574","1694  >  0 [SYN] Seq=0 Win=512 Len=2000"
"303","153.523605","10.0.0.6","10.0.0.2","TCP","54","0  >  1694 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"305","153.529864","10.0.0.2","10.0.0.6","TCP","574","1695  >  0 [SYN] Seq=0 Win=512 Len=2000"
"307","153.529910","10.0.0.6","10.0.0.2","TCP","54","0  >  1695 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"308","153.531607","10.0.0.2","10.0.0.6","TCP","574","1696  >  0 [SYN] Seq=0 Win=512 Len=2000"
"310","153.531665","10.0.0.6","10.0.0.2","TCP","54","0  >  1696 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"311","153.536857","10.0.0.2","10.0.0.6","TCP","574","1697  >  0 [SYN] Seq=0 Win=512 Len=2000"
"313","153.536907","10.0.0.6","10.0.0.2","TCP","54","0  >  1697 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"314","153.538457","10.0.0.2","10.0.0.6","TCP","574","1698  >  0 [SYN] Seq=0 Win=512 Len=2000"
"315","153.538482","10.0.0.6","10.0.0.2","TCP","54","0  >  1698 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"317","153.541766","10.0.0.2","10.0.0.6","TCP","574","1699  >  0 [SYN] Seq=0 Win=512 Len=2000"
"318","153.541792","10.0.0.6","10.0.0.2","TCP","54","0  >  1699 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"320","153.544364","10.0.0.2","10.0.0.6","TCP","574","1700  >  0 [SYN] Seq=0 Win=512 Len=2000"
"321","153.544411","10.0.0.6","10.0.0.2","TCP","54","0  >  1700 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"323","153.547902","10.0.0.2","10.0.0.6","TCP","574","1701  >  0 [SYN] Seq=0 Win=512 Len=2000"
"324","153.547928","10.0.0.6","10.0.0.2","TCP","54","0  >  1701 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"326","153.551227","10.0.0.2","10.0.0.6","TCP","574","1702  >  0 [SYN] Seq=0 Win=512 Len=2000"
"327","153.551240","10.0.0.6","10.0.0.2","TCP","54","0  >  1702 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"329","153.554567","10.0.0.2","10.0.0.6","TCP","574","1703  >  0 [SYN] Seq=0 Win=512 Len=2000"
"330","153.554577","10.0.0.6","10.0.0.2","TCP","54","0  >  1703 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"332","153.557905","10.0.0.2","10.0.0.6","TCP","574","1704  >  0 [SYN] Seq=0 Win=512 Len=2000"
